MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Smallholder farmers are actively involved in initiatives aimed at transforming food systems to be more climate resilient and providing adequate income.,Agri-Food Businesses,Smallholder Farmers,Processors,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Smallholder farmers are actively involved in initiatives aimed at transforming food systems to be more climate resilient and providing adequate income.,Agri-Food Businesses,Smallholder Farmers,Processors,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Smallholder farmers are actively involved in initiatives aimed at transforming food systems to be more climate resilient and providing adequate income.,Agri-Food Businesses,Smallholder Farmers,Processors,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through sustainable practices.,Agri-Food Businesses,Female Farmers,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through sustainable practices.,Agri-Food Businesses,Female Farmers,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Female farmers are actively involved in initiatives aimed at transforming food systems to become more climate resilient and promoting their income through sustainable practices.,Agri-Food Businesses,Female Farmers,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate initiative and related research efforts.,European Union,Agricultural Innovation Mission For Climate,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate initiative and related research efforts.,European Union,Agricultural Innovation Mission For Climate,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate initiative and related research efforts.,European Union,Agricultural Innovation Mission For Climate,Processors,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United States Agency For International Development,International Organisation,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United States Agency For International Development,International Organisation,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United States Agency For International Development,International Organisation,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United Arab Emirates,International Organisation,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United Arab Emirates,International Organisation,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,European Union,United Arab Emirates,International Organisation,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through collaboration in climate-related initiatives.,European Union,Sustainable Food Systems Ireland,International Organisation,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through collaboration in climate-related initiatives.,European Union,Sustainable Food Systems Ireland,International Organisation,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through collaboration in climate-related initiatives.,European Union,Sustainable Food Systems Ireland,International Organisation,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in funding and supporting climate-related agriculture research through the Ireland – New Zealand Joint Research Initiative.,European Union,Ireland – New Zealand Joint Research Initiative,International Organisation,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in funding and supporting climate-related agriculture research through the Ireland – New Zealand Joint Research Initiative.,European Union,Ireland – New Zealand Joint Research Initiative,International Organisation,International Organisation
